epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4130.75,1.01094,0.6727,1.07605,0.87466,0.77726,0.85708,0.67324,0.79472,0.50898,0.95568,0.000742625,0.000742625,0.000742625
43,4229.63,1.00354,0.66391,1.07364,0.90489,0.76894,0.86332,0.68815,0.79123,0.49828,0.95037,0.00073025,0.00073025,0.00073025
44,4328.2,1.00107,0.66131,1.0687,0.8758,0.82251,0.87332,0.69345,0.79068,0.48737,0.94943,0.000717875,0.000717875,0.000717875
45,4427.92,1.00176,0.65341,1.07254,0.90394,0.78469,0.86456,0.68598,0.80796,0.49992,0.95832,0.0007055,0.0007055,0.0007055
46,4527.53,0.99041,0.64823,1.0648,0.86969,0.78616,0.85851,0.67918,0.7945,0.49953,0.95129,0.000693125,0.000693125,0.000693125
47,4626.35,0.99309,0.65392,1.06552,0.90619,0.78237,0.8696,0.68894,0.78968,0.48877,0.94774,0.00068075,0.00068075,0.00068075
48,4725.93,0.98203,0.64456,1.06012,0.87869,0.7831,0.85213,0.67262,0.79195,0.50028,0.95008,0.000668375,0.000668375,0.000668375
49,4825.65,0.97499,0.64003,1.05691,0.89525,0.76957,0.85912,0.6869,0.7837,0.49087,0.94638,0.000656,0.000656,0.000656
50,4924.6,0.98471,0.6464,1.06504,0.90945,0.78335,0.86743,0.6809,0.79246,0.48358,0.94891,0.000643625,0.000643625,0.000643625
51,5026.08,0.97818,0.63105,1.05612,0.89374,0.78258,0.85964,0.68557,0.79691,0.49741,0.94926,0.00063125,0.00063125,0.00063125
52,5128.25,0.96536,0.62635,1.05094,0.91872,0.78077,0.86438,0.68435,0.79507,0.49262,0.95103,0.000618875,0.000618875,0.000618875
53,5229.13,0.97325,0.62804,1.05924,0.90641,0.77052,0.85379,0.68072,0.78933,0.49721,0.95101,0.0006065,0.0006065,0.0006065
54,5329.91,0.96781,0.62208,1.05381,0.9084,0.77161,0.86523,0.6935,0.78876,0.48067,0.95488,0.000594125,0.000594125,0.000594125
55,5430.52,0.95681,0.61518,1.04944,0.91344,0.77709,0.86008,0.69075,0.77477,0.48281,0.94247,0.00058175,0.00058175,0.00058175
56,5530.62,0.9517,0.60779,1.04326,0.9101,0.80407,0.87922,0.70994,0.77367,0.47386,0.94518,0.000569375,0.000569375,0.000569375
57,5631.03,0.9486,0.59966,1.04187,0.88967,0.79882,0.87061,0.69243,0.77599,0.47607,0.94921,0.000557,0.000557,0.000557
58,5730.15,0.95457,0.60978,1.04763,0.90972,0.78861,0.86983,0.6965,0.77181,0.47266,0.94725,0.000544625,0.000544625,0.000544625
59,5829.75,0.95116,0.60386,1.04537,0.89098,0.79718,0.87166,0.69642,0.77129,0.47363,0.94391,0.00053225,0.00053225,0.00053225
60,5929.32,0.93603,0.59709,1.03598,0.9366,0.76244,0.8811,0.70143,0.76857,0.4665,0.94375,0.000519875,0.000519875,0.000519875
61,6028.06,0.93549,0.60234,1.04014,0.90033,0.78063,0.87228,0.6983,0.75971,0.47536,0.93802,0.0005075,0.0005075,0.0005075
62,6125.71,0.94373,0.59639,1.038,0.93445,0.7938,0.87736,0.69024,0.77217,0.47155,0.94818,0.000495125,0.000495125,0.000495125
63,6221.57,0.93505,0.58262,1.032,0.90344,0.801,0.86894,0.69539,0.76139,0.46704,0.93786,0.00048275,0.00048275,0.00048275
64,6317.07,0.91844,0.58049,1.03247,0.91109,0.77353,0.86931,0.70598,0.76785,0.47222,0.94011,0.000470375,0.000470375,0.000470375
65,6412.45,0.92413,0.58056,1.02982,0.922,0.77474,0.87933,0.71206,0.76053,0.45937,0.94161,0.000458,0.000458,0.000458
66,6509.69,0.92056,0.57734,1.02827,0.89604,0.76571,0.85471,0.68368,0.77,0.47849,0.94068,0.000445625,0.000445625,0.000445625
67,6606.04,0.92038,0.57083,1.02994,0.92298,0.76202,0.86744,0.69712,0.77207,0.47307,0.94614,0.00043325,0.00043325,0.00043325
68,6703.86,0.91582,0.57374,1.02596,0.89143,0.78971,0.86884,0.69788,0.76834,0.46417,0.94489,0.000420875,0.000420875,0.000420875
69,6800.41,0.91398,0.56765,1.02669,0.90807,0.79439,0.87389,0.70332,0.76266,0.45658,0.94096,0.0004085,0.0004085,0.0004085
70,6895.15,0.9051,0.56224,1.02023,0.91508,0.78114,0.86733,0.69829,0.76372,0.4689,0.93977,0.000396125,0.000396125,0.000396125
71,6992.3,0.90882,0.56501,1.02281,0.92674,0.77045,0.86364,0.6992,0.76887,0.46763,0.94547,0.00038375,0.00038375,0.00038375
72,7090.01,0.90035,0.55241,1.01929,0.92126,0.77661,0.87453,0.70795,0.76148,0.46384,0.93624,0.000371375,0.000371375,0.000371375
73,7185.53,0.89419,0.5533,1.01851,0.89026,0.81543,0.87141,0.70228,0.76098,0.46627,0.93831,0.000359,0.000359,0.000359
74,7287.13,0.88866,0.5457,1.0136,0.90516,0.78266,0.87489,0.70824,0.75785,0.4637,0.93494,0.000346625,0.000346625,0.000346625
75,7391.42,0.89016,0.54092,1.01293,0.91106,0.7963,0.87195,0.70566,0.75414,0.46554,0.93291,0.00033425,0.00033425,0.00033425
76,7489.27,0.88284,0.54065,1.01299,0.94436,0.78991,0.88002,0.70858,0.75507,0.45742,0.93273,0.000321875,0.000321875,0.000321875
77,7583.96,0.88876,0.55068,1.01646,0.95177,0.77476,0.87621,0.70384,0.76144,0.46215,0.93715,0.0003095,0.0003095,0.0003095
78,7680.45,0.88422,0.54282,1.0121,0.9115,0.80178,0.87789,0.71192,0.76397,0.45785,0.93863,0.000297125,0.000297125,0.000297125
79,7777.16,0.88377,0.53962,1.00985,0.92336,0.79826,0.87516,0.70547,0.76373,0.45668,0.94032,0.00028475,0.00028475,0.00028475
80,7876.95,0.87213,0.53654,1.00904,0.92636,0.7819,0.87758,0.70563,0.75939,0.45509,0.94043,0.000272375,0.000272375,0.000272375
